customerID;gender;SeniorCitizen;Partner;Dependents;tenure;Cuenta_Corriente;Multiple_CC;Forma_Pago;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;Atencion_Telf;Atencion_personal;Contract;Correspondencia;MonthlyCharges;TotalCharges;Churn;Letra
5575-GNVDE;Male;0;No;No;34;Yes;No;P2C;Yes;No;Yes;No;No;No;One year;No;56.95;1889.5;No;B
7795-CFOCW;Male;0;No;No;45;No;No;P2C;Yes;No;Yes;Yes;No;No;One year;No;42.3;1840.75;No;D
9305-CDSKC;Female;0;No;No;8;Yes;Yes;P2P;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;99.65;820.5;Yes;B
6713-OKOMC;Female;0;No;No;10;No;No;P2C;Yes;No;No;No;No;No;Month-to-month;No;29.75;301.9;No;D
6388-TABGU;Male;0;No;Yes;62;Yes;No;P2C;Yes;Yes;No;No;No;No;One year;No;56.15;3487.95;No;B
7469-LKBCI;Male;0;No;No;16;Yes;No;WIRE;No;No;No;No;No;No;Two year;No;18.95;326.8;No;D
0280-XJGEX;Male;0;No;No;49;Yes;Yes;P2P;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;103.7;5036.3;Yes;B
3655-SNQYZ;Female;0;Yes;Yes;69;Yes;Yes;P2P;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;113.25;7895.15;No;D
9959-WOFKT;Male;0;No;Yes;71;Yes;Yes;P2P;Yes;No;Yes;No;Yes;Yes;Two year;No;106.7;7382.25;No;B
4183-MYFRB;Female;0;No;No;21;Yes;No;P2P;No;Yes;Yes;No;No;Yes;Month-to-month;Yes;90.05;1862.9;No;D
1680-VDCWW;Male;0;Yes;No;12;Yes;No;WIRE;No;No;No;No;No;No;One year;No;19.8;202.25;No;B
3638-WEABW;Female;0;Yes;No;58;Yes;Yes;P2C;No;Yes;No;Yes;No;No;Two year;Yes;59.9;3505.1;No;D
6865-JZNKO;Female;0;No;No;30;Yes;No;P2C;Yes;Yes;No;No;No;No;Month-to-month;Yes;55.3;1530.6;No;B
8665-UTDHZ;Male;0;Yes;Yes;1;No;No;P2C;No;Yes;No;No;No;No;Month-to-month;No;30.2;30.2;Yes;D
8773-HHUOZ;Female;0;No;Yes;17;Yes;No;P2C;No;No;No;No;Yes;Yes;Month-to-month;Yes;64.7;1093.1;Yes;B
4929-XIHVW;Male;1;Yes;No;2;Yes;No;P2P;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;95.5;181.65;No;D
